Date,Asset,Amount,Price per unit (EUR),Value (EUR),Transaction Type,Label
2023-01-03 01:00,ADA,0.00,0.24,0.00,Receive,Reward
2023-01-03 01:00,BTC,0.00,15616.09,0.02,Receive,Reward
2023-01-03 01:00,AVAX,0.00,10.68,0.00,Receive,Reward
2023-01-03 01:00,SOL,0.01,12.53,0.07,Receive,Reward
2023-01-03 01:00,AXS,0.00,6.10,0.01,Receive,Reward
2023-01-03 01:00,AXS,0.04,6.10,0.24,Receive,Reward
2023-01-03 01:00,ADA,0.12,0.24,0.03,Receive,Reward
2023-01-03 01:00,SAND,0.00,0.39,0.00,Receive,Reward
2023-01-03 01:00,ETH,0.00,1137.22,0.00,Receive,Reward
2023-01-03 01:00,MATIC,0.00,0.73,0.00,Receive,Reward
2023-01-03 01:00,AAVE,0.00,49.62,0.00,Receive,Reward
2023-01-03 01:00,SOL,0.00,12.53,0.01,Receive,Reward
2023-01-03 01:00,ADA,0.25,0.24,0.06,Receive,Reward
2023-01-03 01:00,DOT,0.01,4.24,0.04,Receive,Reward
2023-01-03 01:00,MATIC,0.00,0.73,0.00,Receive,Reward
2023-01-03 01:00,USDT,0.05,0.94,0.05,Receive,Reward
2023-01-03 01:00,MATIC,0.01,0.73,0.01,Receive,Reward
2023-01-03 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
2023-01-03 01:00,DOT,0.00,4.24,0.01,Receive,Reward
2023-01-03 01:00,LTC,0.00,70.64,0.00,Receive,Reward
2023-01-03 01:00,DOT,0.01,4.24,0.03,Receive,Reward
2023-01-03 01:00,SOL,0.00,12.53,0.01,Receive,Reward
2023-01-03 01:00,ADA,0.02,0.24,0.01,Receive,Reward
2023-01-03 01:00,ALGO,0.00,0.17,0.00,Receive,Reward
2023-01-03 01:00,AXS,0.00,6.10,0.02,Receive,Reward
2023-01-03 01:00,ADA,0.00,0.00,0.00,Receive,Reward
2023-01-03 01:00,DOT,0.00,4.24,0.01,Receive,Reward
2023-01-03 01:00,BUSD,0.13,0.94,0.13,Receive,Reward
2023-01-03 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-03 01:00,BNB,0.00,230.37,0.00,Receive,Reward
2023-01-03 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-03 01:00,XRP,0.01,0.32,0.00,Receive,Reward
2023-01-03 01:00,ADA,0.09,0.24,0.02,Receive,Reward
2023-01-03 01:00,BNB,0.00,230.47,0.01,Receive,Reward
2023-01-03 09:00,BETH,0.00,1091.55,0.06,Receive,Reward
